id,artist_name,followers,genres,popularity
0mvs54wqQ5uGpPgZKlVvUx,Garrett Williamson,7403,Scott the Woz,31
6o2D1YBpFJDDaMwZYGyW3T,Vana,107124,booba,55
3rWZHrfrsPBxVy692yAIxF,WILLOW,2841958,post-rock,70
5JD5mJBIRz9pisqHn7SM7W,Kotek,9280,drumstep,23
2xUFofsrGYO0451gYxcWXI,Portamento,1696,psytrance,22
4EnymklUyqZwvmHQGlRssl,Saya Gray,62976,art pop,57
1sFuaHWt29kquc8Apiglfb,Thundersmack,8280,jazz,30
3pyb2uKBcH0AANqERQpJoC,Eddie EWI,10460,nu jazz,27
53M4Iv2RkzzxFFvW2B1jhC,Breathe Carolina,354238,electronic,52
6UMUvqiDBEJLyx2uYplGCV,Otha,41718,electronic,45
2sriRQRt36DnfHtD68zZlj,Dorian Concept,94059,electronic,50
307erl4VjT1dZDMYpneZqd,Mason,36034,electro,59
5GYaRwCWwhU6SIQrQ5G3b7,Hypaton,89916,trance,61
4yvcSjfu4PC0CYQyLy4wSq,Glass Animals,4419713,electronic,75
4tpDw1W5WG1Tf7puULUur5,Gold Geisha,9133,electronic,35
0Z4Ir8usNVcAdCSQl0fQki,INJI,171168,pop,50
3Pj6dfWTnH3sYHctX0EZMH,Daisy Grenade,52396,seen live,41
1Pu6QNtLLwGDTbOKg4Sdij,Neon Beach,965,,22
6n28c9qs9hNGriNa72b26u,PNAU,250486,electronic,71
3Xt3RrJMFv5SZkCfUE8C1J,Kim Petras,1154478,pop,72
6x4fWXlFHJhySjhtO7cBIh,Peach Riot,11951,,27
2eMb96S1ZJ1YQ7FhWAzWJL,Pearly Drops,62905,electronic,47
2qanRMyA5bNuTvz1dK45OP,ADÉLA,59043,pop,51
7dStW3oUoLZIbJMuhmx9Dg,Ofrin,6802,electronic,30
4Q6nIcaBED8qUel8bBx6Cr,Jax Jones,1223951,electronic,71
4GNHtO2iEJ09r4JNTlqnO9,Master Peace,37616,hardcore,45
2mW9rNrxyKxGj4GC53hVAH,The Cave,945,post-punk,21
0xRXCcSX89eobfrshSVdyu,MEDUZA,884758,Power metal,73
7vkhg0Rav27QjDgKgHTOSH,scntfc,10999,Soundtrack,31
1srU7GzSGHwG1ewjSv6ztq,Quackson,8982,electronic,36
0U6MHJ9KRB5A1M7iHN06sS,Emi Grace,19252,electronic,36
2hUYKu1x0UZQXvzCmggvSn,Reneé Rapp,1011432,seen live,66
6TFOalvhHRXh8JmQTVSoyY,Pedestrian Tactics,6080,electronic,23
7K9fyLw4RPBp8PIFkif2eB,Wildermiss,15505,seen live,30
0ZxZlO7oWCSYMXhehpyMvE,COIN,663076,indie,59
7fVp0A6oCMfiQJihMnY0SZ,KNOWER,141041,experimental,41
1l9d7B8W0IHy3LqWsxP2SH,Phantogram,894802,trip-hop,66
1OsqAzBh0YCmsISYLgIOqa,Haezer,17978,electro,31
1m19wFvOFvPm15no62SlAD,Michael Medrano,22164,pop,41
5GlFG0lCadjEBnY1w1FwwW,Aziya,32661,seen live,42
45dkTj5sMRSjrmBSBeiHym,Tate McRae,7048840,pop,90
21Tp0aROiJGTa0BgFGsC6v,The Versions,17602,metal,45
4ea8aZ1hr2yK5s3JnaCAh6,MESHAPI,5312,phonk,39
5MI0dQrxPC7MEWdiCUmtMP,Oneeva,3662,electronic,20
4zKHT6QwR4065YcVhy2WEA,B.Calloway,166,electro,6
5TloeWiZXG1ttx3qXHxbs0,BeatFreakz,4025,dance,31
7Bx0qiG4t9Ewq8NyPDtxab,Michael Wyckoff,14483,electronic,38
0hrMKLqgNEIemiF4Ag8dTI,Sophie Powers,75957,pop,48
2FwJwEswyIUAljqgjNSHgP,Snakehips,364812,electronic,59
2OaHYHb2XcFPvqL3VsyPzU,Rico Nasty,1128057,rap,63
58Lhq8YgZ0E3DDAA8pBufV,ShogunF,2690,spotify,31
0R7QDPXqFaQ9F0FdTZUeca,XANDRA,3880,dance,43
1zftPdKSYBqbdMc8BVRWsg,DaDood,39479,slam death metal,38
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,108451749,pop,94
2lMbnMWwgAxvVHXVDlF3ZV,Prince Innocence,14617,electronic,31
3PyJHH2wyfQK3WZrk9rpmP,Ashnikko,2490144,Hip-Hop,70
2gUtWSZwLhDitFVAezHsfv,Best Frenz,8857,electronic,37
1fd3fmwlhrDl2U5wbbPQYN,Apashe,404359,trap,60
2jw70GZXlAI8QzWeY2bgRc,Nelly Furtado,4309018,pop,77
5CMaNobmJYgXcfiT0zYOwi,WHIPPED CREAM,90764,shoegaze,50
